Column1,Column2,Column3,Column4,Column5,Column6,Column7
Type,Key,Priority,Text,Daniel,David,Decision
Description,FD-755,Medium,A user should be able to use the 3rd Party Feature to ingest a BlackDuck BoM to IP Central as lightweight components.     Acceptance Criteria  Build similar functionality to the direct push of Corona BoM to IPC  Should be created as SL and Plugin at the same time(no conversion by separate team member),non-SR,SR,
Description,FD-748,Medium,A new or seasoned user should be able to visit the FAST SACP Wiki to find information on how to set up the CSB CICD Report and view a video demo as well.     DoD:    Updated Wiki page for CSB CICD Report  All language should be consistent (always CSB CICD Report).   Updated Demo video uploaded to a wiki page. It should be attached as a file and embedding via box.  Documentation and demo should be available in github as well  Please ensure that all links in the below document are correct for this story;  Due date of Friday November 2nd,non-SR,non-SR,
Description,FD-747,Medium,A new or seasoned user should be able to visit the FAST SACP Wiki to find information on how to set up the Static Scan feature and view a video demo as well.     DoD:    Updated Wiki page for Static Scan Feature  All language should be consistent (always Static Scan feature).   Updated Demo video uploaded to a wiki page. It should be attached as a file and embedding via box and link (in blue) added to the release page below  The documentation and demo should also be available in the github repo.  Please ensure that all links in the below document are correct for this story;  Due date of Friday November 2nd,non-SR,non-SR,
Description,FD-746,Medium,A new or seasoned user should be able to visit the FAST SACP Wiki to find information on how to set up the 3rd party feature and view a video demo as well.     DoD:    Updated Wiki page for 3rd Party Feature  All language should be consistent (always 3rd party feature). Call out in the first mentioned of 3rd Party that is was previously called Binary.  Updated Demo video uploaded to a wiki page. It should be attached as a file and embedding via box and link (in blue) added to the release page below  Please ensure that all links in the below document are correct for this story;  Due date of Friday November 2nd,non-SR,non-SR,
Description,FD-733,Medium,"As a consumer of CSB CICD Pipeline Edition, I want to consume a stable version of the shared library, and not have my pipelines break. At the same time I want to make use of updated functionality as it becomes available.    Detail:    There is already a ï¿½ï¿½greenï¿½ï¿½ tag that is maintained automatically for commits that pass the unit tests, however we donï¿½ï¿½t have great code coverage, so green is not a guarantee of reliability. A ï¿½ï¿½latest-releaseï¿½ï¿½ tag should be maintained in git, and updated to refer to the most recent official release.    That way consumers of the library can either consume specific release, the latest release, or ï¿½ï¿½greenï¿½ï¿½ for bleeding edge integrations    e.g. The CICD repo can be updated to include a release build job (or extra optional step to the existing Jenkins file) that creates a new release tag from stable master build , and also updates the ï¿½ï¿½latest-releaseï¿½ï¿½ tag to the most recent release.        Acceptance Criteria:    An automated release process is put in place that creates a new release tag, and maintains the ï¿½ï¿½latest-releaseï¿½ï¿½ tag.",SR,SR,
Description,FD-731,Medium,"As a Consumer of the CSB CICD Pipeline Edition I do not want my build farm executors to be consumed waiting for external services to finish lengthy tasks as this risks resource starvation    Detail:    At present the wait for Corona Scan in the CSB CICD Pipeline Edition is done in a python script. This does not give Jenkins any visibility that the script is just in an idle loop, and unnecessarily consumes an executor.    Jenkins pipeline supplies a waitUntil step that can be run on the lightweight executor, and does not consume a real ececutor, except during the actual checks.     It does an exponential backoff, so is not constantly polling the external service    Binary Scan is split into a before and after phase (e.g. upload and report), and the wait in the python script removed or allowed to be skipped.    An isCoronaScanComplete pipeline step should be defined that just checks if the corona scan is complete returning true if it is, false otherwise    A waitForCoronaScan step taking a maximum timeout, and a node label should be defined that calls isCoronaScanComplete inside a waitUntil block, allocating a node with the appropriate label for running the check.        Pseudo code:    def waitForCoronaScan (scan, duration, label) {    timeout (duration) {    waitUntil {    node (label) {    isCoronaScanComplete (scan)    }    }    }    }        Acceoptance Criteria:    isCoronaScanComplete pipeline step is implemented and unit tested.    waitForCoronaScan pipeline step is implemented and unit tested.    Integration test run against an actual Corona scan with a short timeout, to verify the timeout works    Integration test run against an actual Corona scan with a long timeout, to verify the backoff and node allocation/release works as intended",SR,SR,
Summary,FD-730,Medium,Filter for which images are picked up,non-SR,non-SR,
Description,FD-729,Medium,User should have information on separate errors that are thrown by Binary Feature. User should be able to see where and why something is failing.     DoD:  Detailed and informational error handling available in Binary Feature,SR,SR,
Summary,FD-728,Medium,3rd party Feature unit testing,SR,SR,
